gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,13,1,2,0,0,4,4,1,0,1,6,1,0,3,1,2
0,0,0,15,2,3,0,3,3,4,0,1,0,7,1,0,4,2,2
1,1,1,15,2,5,1,4,6,3,0,2,0,11,1,0,2,4,2
0,0,0,17,5,6,2,4,9,4,3,2,2,9,0,0,3,4,3
1,1,1,21,7,9,1,6,12,4,4,3,4,13,1,0,4,3,2
0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,45,17,16,3,2,7,16,9,1,9,5,5,2,10,3,8
0,0,0,56,12,8,5,5,5,26,13,1,12,7,6,2,10,4,9
0,0,0,62,16,20,10,8,15,23,11,3,10,9,9,3,15,3,11
0,0,1,64,19,20,13,11,13,24,12,4,11,9,10,5,14,4,13
0,0,1,68,21,20,11,12,13,24,10,5,9,9,12,5,15,4,13
0,0,0,11,3,0,0,1,1,4,1,0,1,2,2,0,0,2,2
0,0,0,11,5,2,1,3,0,4,0,3,0,3,2,0,0,3,1
0,0,0,18,6,2,0,3,0,5,2,3,2,3,5,0,1,3,2
0,0,1,18,7,3,1,5,1,4,2,2,2,2,5,0,2,3,2
0,0,0,13,5,1,0,2,1,3,1,3,1,1,2,0,2,2,2
0,0,0,9,2,4,3,2,0,1,1,2,1,1,1,1,1,0,0
0,0,0,11,4,5,1,1,0,1,1,1,1,2,2,2,1,0,1
0,0,0,15,5,5,2,3,0,1,3,2,2,1,3,5,3,0,2
0,1,1,17,3,6,2,4,0,1,3,2,2,2,3,3,2,1,2
0,0,1,19,3,4,2,4,0,1,3,1,2,3,3,3,3,1,2
0,0,1,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0
0,1,1,2,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0
